Paper_ID,DOI,Role,Journal,Figure_count,Figure_panels_estimated,Figure_types_detected,First_figure_caption_excerpt,Table_count,Table_types_detected,First_table_caption_excerpt,Source_PDF,Status
P055,10.1109/tii.2023.3248120,A,TII,11,15,QUANTITATIVE_RESULT; TRAJECTORY,presents the geometrical structure of the parallel ma-,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Huang_2023_TII_Evolutionary-Optimization-of-Fuzzy-Reinforcement-Learning-and-Its-Appl.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P056,10.1109/tii.2022.3143175,A,TII,6,15,QUANTITATIVE_RESULT,shows a schematic system that consists of two units:,2,COMPLEXITY; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS, Environmental setup parameters.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Yun_2022_TII_Cooperative-Multiagent-Deep-Reinforcement-Learning-for-Reliable-Survei.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P057,10.1109/tim.2025.3584117,A,TIM,18,36,PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, Overview of our presented ARE method.,4,COMPLEXITY; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,shows the parameter settings.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Zhang_2025_TIM_LiDAR-Based-Autonomous-Exploration-Method-of-Mobile-Robot-Using-Deep-R.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P058,10.1109/tim.2024.3522370,A,TIM,26,48,METHOD_FRAMEWORK; PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO; SENSITIVITY; TRAJECTORY, Structure of fixed-wing UA V .,5,COMPLEXITY; PARAMETERS,HYPERPARAMETERS OF DDQN T RAINING,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Zhang_2025_TIM_Cooperative-Obstacle-Avoidance-of-Unmanned-System-Swarm-via-Reinforcem.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P059,10.1109/tim.2023.3265741,A,TIM,17,26,METHOD_FRAMEWORK; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; SENSITIVITY; TRAJECTORY, Flow diagram of the proposed reinforcement-learning-based control,4,MAIN_COMPARISON,EVALUATION METRIC ABOUT LEARNING PROCESS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Ma_2023_TIM_Deep-Reinforcement-Learning-of-UAV-Tracking-Control-Under-Wind-Disturb.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P060,10.1109/tim.2025.3562241,A,TIM,18,45,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; TRAJECTORY," Components, working scene, and coordinate frames of the grinding",4,COMPLEXITY; MAIN_COMPARISON; PARAMETERS," Compared to the SGFC and MPO-IC algorithms, the",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Liu_2025_TIM_Optimal-Trajectory-Planning-and-Multimodal-Force-Control-for-Robotic-L.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P061,10.1109/tits.2024.3524562,A,TITS,14,19,METHOD_FRAMEWORK, Cooperative target encirclement with multiple UA Vs.,1,COMPLEXITY; PARAMETERS,HYPER PARAMETERS USED IN THE SIMULATION,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Chen_2025_TITS_Extrinsic-and-Intrinsic-Reward-Based-Multi-Agent-Reinforcement-Learnin.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P062,10.1109/tits.2023.3276416,A,TITS,12,13,MOTIVATION; PROBLEM; SCENARIO, The illustration of the motivation and goals of our proposed system,6,BASELINE_DESCRIPTION; ENVIRONMENT_SETTINGS; MAIN_COMPARISON,TRAFFIC SETTINGS IN THE THREE TEST SCENARIOS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Guo_2023_TITS_CoTV-Cooperative-Control-for-Traffic-Light-Signals-and-Connected-Auton.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P063,10.1109/tits.2024.3505929,A,TITS,9,43,ABLATION; GENERALIZATION; NETWORK_ARCHITECTURE; PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO, Illustration of the proposed spatial-temporal attention multi-agent,3,ABLATION; ENVIRONMENT_SETTINGS; GENERALIZATION; PARAMETERS,PARAMETER SETTINGS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Yan_2025_TITS_Multi-Agent-Reinforcement-Learning-With-Spatial-Temporal-Attention-for.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P064,10.1109/tits.2020.3039617,A,TITS,7,10,QUANTITATIVE_RESULT, System Model for Heterogeneous Unmanned Aerial,3,ENVIRONMENT_SETTINGS, Simulation Settings,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Abedin_2021_TITS_Data-Freshness-and-Energy-Efficient-UAV-Navigation-Optimization-A-Deep.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P065,10.1109/tits.2023.3266195,A,TITS,21,23,GENERALIZATION; METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, The schematic diagram of the motion planning and tracking problem.,13,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,MAIN PARAMETERS OF PQL-FPC M ETHOD,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Du_2023_TITS_Hierarchical-Motion-Planning-and-Tracking-for-Autonomous-Vehicles-Usin.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P066,10.1109/tiv.2025.3598768,A,TIV,6,9,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, An overview of the network model.,3,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,COMPARISON BETWEEN IDS AND IRS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Zhang_2025_TIV_Securing-End-to-End-Reinforcement-Learning-Driven-Autonomous-Driving-A.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P067,10.1109/tiv.2024.3373512,A,TIV,11,35,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; SCENARIO," The method involves three modules: an RL module,",0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Zhou_2024_TIV_Enhancing-System-Level-Safety-in-Mixed-Autonomy-Platoon-via-Safe-Reinf.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P068,10.1109/tiv.2022.3214777,A,TIV,9,11,QUANTITATIVE_RESULT; TRAJECTORY," Schematics on vehicle geometrics, kinematics, and the concept of cusp.",3,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,PARAMETRIC SETTINGS FOR SIMULA TIONS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Li_2022_TIV_Mixed-Integer-and-Conditional-Trajectory-Planning-for-an-Autonomous-Mi.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P069,10.1109/tiv.2023.3314709,A,TIV,18,35,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; SENSITIVITY; SYSTEM_OVERVIEW; TRAJECTORY,can be divided into three tractable sub-problems: (i),2,COMPLEXITY; PARAMETERS, The details regarding the key implementation aspects,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Zhou_2023_TIV_Interaction-Aware-Motion-Planning-for-Autonomous-Vehicles-With-Multi-M.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P070,10.1109/tiv.2022.3185159,A,TIV,11,21,PROBLEM; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; SENSITIVITY, High-level architecture of the proposed uncertainty-aware MBRL,4,COMPLEXITY; ENVIRONMENT_SETTINGS; PARAMETERS,HYPERPARAMETERS OF THE MBRL-BASED AV STRA TEGY,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Wu_2022_TIV_Uncertainty-Aware-Model-Based-Reinforcement-Learning-Methodology-and-A.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P071,10.1109/tmech.2026.3658866,A,TMECH,17,19,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, Overview of the proposed robot-assisted ultrasound scanning system.,1,COMPLEXITY; PARAMETERS, Parameters of the admittance controller.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Si_2026_TMECH_Robot-Learning-System-Based-on-Target-Localization-and-Human-Demonstra.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P072,10.1109/tmech.2023.3235906,A,TMECH,9,14,PROBLEM; QUANTITATIVE_RESULT; SCENARIO, Vehicle dynamic and kinematic states representation along the,2,UNKNOWN," In contrast, the conventional MPC does not guarantee",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Samada_2023_TMECH_Robust-TS-ANFIS-MPC-of-an-Autonomous-Racing-Electrical-Vehicle-Conside.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P073,10.1109/tmech.2022.3142756,A,TMECH,10,20,SCENARIO; SENSITIVITY, Flow chart of the proposed CPP method,6,COMPLEXITY; PARAMETERS, Results of the MU based on diﬀerent viewpoint,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Liu_2022_TMECH_Coverage-Path-Planning-for-Robotic-Quality-Inspection-With-Control-on-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P074,10.1109/tmech.2025.3592930,A,TMECH,14,32,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; SCENARIO, Microrobot system with the 12 × 12 planar circular microcoil,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Fan_2025_TMECH_Collaborative-Task-Planning-for-PCB-Driven-Magnetic-Microrobots-Using-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P075,10.1109/tmech.2025.3570573,A,TMECH,4,20,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY," System diagram of the proposed path planning method. After setting the task’s start and end points, our algorithm optimizes the dynamic",1,UNKNOWN,shows that our algorithm with the just-in-time mod-,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Cai_2025_TMECH_Just-in-Time-Informed-Trees-Manipulability-Aware-Asymptotically-Optimi.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P076,10.1109/tmech.2021.3090838,A,TMECH,14,25,QUALITATIVE_RESULT; QUANTITATIVE_RESULT; REAL_WORLD; TRAJECTORY, Schematic of concept: a soft continuum robot for blood suction,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Lai_2021_TMECH_Verticalized-Tip-Trajectory-Tracking-of-a-3D-Printable-Soft-Continuum-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P077,10.1109/tnnls.2021.3056046,A,TNNLS,11,25,QUANTITATIVE_RESULT; ROBUSTNESS; SENSITIVITY; SYSTEM_OVERVIEW, Intuition.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Everett_2021_TNNLS_Certifiable-Robustness-to-Adversarial-State-Uncertainty-in-Deep-Reinfo.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P078,10.1109/tnnls.2023.3247160,A,TNNLS,10,20,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, Workflow of ALN-DSAC. LSTM/AL-DSAC denotes the DSAC with,7,COMPLEXITY; ENVIRONMENT_SETTINGS; PARAMETERS,PARAMETERS OF ALN-DSAC,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Zhou_2023_TNNLS_Representation-Learning-and-Reinforcement-Learning-for-Dynamic-Complex.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P079,10.1109/tnnls.2022.3191021,A,TNNLS,18,41,QUANTITATIVE_RESULT, Training a group of nine UR5 robot arms to reach the,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Liu_2022_TNNLS_Distributed-Neural-Networks-Training-for-Robotic-Manipulation-With-Con.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P080,10.1109/tnnls.2024.3350679,A,TNNLS,8,14,QUANTITATIVE_RESULT, Security and safety-critical learning-based collaborative control,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Yan_2024_TNNLS_Security-and-Safety-Critical-Learning-Based-Collaborative-Control-for-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P081,10.1109/tnnls.2026.3685832,A,TNNLS,35,37,QUANTITATIVE_RESULT; SCENARIO, The robot’s model in Simulink/SimMechanics used for RL training.,3,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,SUB-MODELS AND TRAINING REWARDS SUMMARY,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\An_2026_TNNLS_Human-Machine-Co-Adaptation-for-Robot-Assisted-Rehabilitation-via-Dual.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P082,10.1109/tro.2025.3530348,A,TRO,15,19,QUANTITATIVE_RESULT; SCENARIO; SENSITIVITY, 8-Crazyflie swapping with GCBF: We learn a,2,COMPLEXITY; PARAMETERS, Size of layers of the MLP used in the GNN.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Zhang_2025_TRO_GCBF-A-Neural-Graph-Control-Barrier-Function-Framework-for-Distributed.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P083,10.1109/tro.2021.3137751,A,TRO,15,29,PROBLEM; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; SYSTEM_OVERVIEW; TRAJECTORY, Demonstration of Kimera-Multi in a three-robot collaborative,5,RUNTIME,reports the ﬁnal A TE of each method when evaluated,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Tian_2022_TRO_Kimera-Multi-Robust-Distributed-Dense-Metric-Semantic-SLAM-for-Multi-R.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P084,10.1109/tro.2026.3651669,A,TRO,18,26,GENERALIZATION; METHOD_FRAMEWORK," Policies learned with our hand-object representation perform grasping, in-hand reorientation, and handover tasks with",9,BASELINE_DESCRIPTION; GENERALIZATION; MAIN_COMPARISON,Success rate (%) of our method and baselines for grasping in MuJoCo and Isaac Gym.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Liu_2026_TRO_DexRepNet-Learning-Dexterous-Robotic-Manipulation-With-Geometric-and-S.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P085,10.1109/tro.2022.3232300,A,TRO,7,9,PROBLEM; QUALITATIVE_RESULT; SCENARIO; TRAJECTORY, Demonstrations of ECE equilibria for two-agent setup as we decrease,4,UNKNOWN,THREE-AGENT COLLISION AVOIDANCE SIMULA TIONS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Mehr_2023_TRO_Maximum-Entropy-Multi-Agent-Dynamic-Games-Forward-and-Inverse-Solution.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P086,10.1109/tro.2023.3275875,A,TRO,11,21,METHOD_FRAMEWORK; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Secure framework in this article.,3,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,COMPARISONS WITH THE EXISTING METHODS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Wu_2023_TRO_A-Secure-Robot-Learning-Framework-for-Cyber-Attack-Scheduling-and-Coun.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P087,10.1109/tro.2024.3434208,A,TRO,19,24,PROBLEM; TRAJECTORY," Illustration of the dynamics of frictional contactsbetween rigid bodies,",3,UNKNOWN,OPEN SOURCE TOOLS FOR PHYSICS SIMULA TION IN ROBOTICS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Lidec_2024_TRO_Contact-Models-in-Robotics-A-Comparative-Analysis.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P088,10.1109/tro.2023.3264950,A,TRO,23,36,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Top-down view of a workspace to illustrate an entanglement situation.,2,UNKNOWN,NOTATION,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Cao_2023_TRO_NEPTUNE-Nonentangling-Trajectory-Planning-for-Multiple-Tethered-Unmann.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P089,10.1109/tro.2026.3714645,A,TRO,25,34,METHOD_FRAMEWORK; MOTIVATION; PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, Overview of a fully autonomous hiking experiment using the ANYmal,9,COMPLEXITY; MAIN_COMPARISON,NON-COMPLETE OVERVIEW OF STATE-ESTIMATION AND SENSOR-FUSION APPROACHES.✓INDICATES SUPPORT. ✗ INDICATES LIMITED OR NO SUPPORT.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Nubert_2026_TRO_Holistic-Fusion-Task-and-Setup-Agnostic-Robot-Localization-and-State-E.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P090,10.1109/tro.2025.3593109,A,TRO,16,34,MOTIVATION; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, These ﬁgures illustrate the need for using good initializations for optimization-based motion planning methods when there are narrow passages in the,3,COMPLEXITY; PARAMETERS,HYPERPARAMETERS FOR TRAINING MPD,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Carvalho_2025_TRO_Motion-Planning-Diffusion-Learning-and-Adapting-Robot-Motion-Planning-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P091,10.1109/tro.2021.3080235,A,TRO,15,23,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, 32 agents using MADER to plan trajectories in,5,ENVIRONMENT_SETTINGS; MAIN_COMPARISON, Notation used in this paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Tordesillas_2021_TRO_MADER-Trajectory-Planner-in-Multiagent-and-Dynamic-Environments.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P092,10.1109/tsmc.2026.3720408,A,TSMCS,10,17,METHOD_FRAMEWORK; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO, Personal Space Zones in Human Proxemics.,5,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,DEFINITIONS OF NAVIGATION PERFORMANCE METRICS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TSMCS\Sun_2026_TSMCS_Socially-Aware-Robot-Crowd-Navigation-via-Online-Uncertainty-Driven-Ri.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P093,10.1109/tsmc.2025.3551291,A,TSMCS,7,8,PROBLEM; SCENARIO; TRAJECTORY," Flowchart of DRL dynamic obstacle avoidance control algorithm. The critic network outputs the predicted value of Q at time step t, while the target",3,ABLATION; COMPLEXITY; PARAMETERS,DETAILED REW ARD,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TSMCS\Hua_2025_TSMCS_Synthesizing-Control-Barrier-Functions-With-Artificial-Potential-Field.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P094,10.1109/tsmc.2023.3299237,A,TSMCS,22,26,PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; SENSITIVITY; TRAJECTORY, Coordination system illustration and inspection preferences.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TSMCS\Lyu_2023_TSMCS_Vision-Based-Plane-Estimation-and-Following-for-Building-Inspection-Wi.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P095,10.1109/tvt.2025.3596466,A,TVT,10,31,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; TRAJECTORY, Overall framework for enhancing the robustness of UA V search path planning. (a) Environment. (b) Agent. (c) Agent after Adv-SR attacked. (d) A gent,2,ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,PARAMETER SETTINGS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Liang_2026_TVT_Enhancing-the-Robustness-of-UAV-Search-Path-Planning-Based-on-Deep-Rei.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P096,10.1109/tvt.2025.3606201,A,TVT,8,28,ABLATION; PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY,demonstrates an exemplary scenario located in a cen-,5,ENVIRONMENT_SETTINGS; PARAMETERS,NOMENCLA TURE,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Zhou_2026_TVT_Uncertainty-Aware-Multi-Agent-Reinforcement-Learning-for-Anti-Interfer.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P097,10.1109/tvt.2024.3389555,A,TVT,17,42,METHOD_FRAMEWORK; SCENARIO; TRAJECTORY, Schematic diagram of relative position between the virtual leader UA V,6,COMPLEXITY; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,"HYPER-PARAMETERS OF MADDPG, MA TD3AND PF-LSTM-MA TD3",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Xing_2024_TVT_Multi-UAV-Adaptive-Cooperative-Formation-Trajectory-Planning-Based-on-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P098,10.1109/tvt.2023.3262778,A,TVT,10,17,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, System model,1,ENVIRONMENT_SETTINGS; PARAMETERS, Parameter settings in the numerical simulations.,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Gong_2023_TVT_Bayesian-Optimization-Enhanced-Deep-Reinforcement-Learning-for-Traject.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P099,10.1109/tvt.2024.3383352,A,TVT,16,21,TRAJECTORY, The time-varying topologies.,1,UNKNOWN,THIS TABLE SUMMARIZES THE KEY NOTATIONS .,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Wu_2024_TVT_Formation-Control-Algorithms-for-Multi-UAV-Systems-With-Unstable-Topol.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P100,10.1109/tvt.2024.3419842,A,TVT,16,21,PROBLEM; SCENARIO; TRAJECTORY, System scenario.,3,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,SIMULA TIONPARAMETERS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Zheng_2025_TVT_3D-UAV-Trajectory-Planning-With-Obstacle-Avoidance-for-UAV-Enabled-Tim.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P101,10.1109/tro.2021.3071615,B,TRO,14,33,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; SCENARIO, Scenario of a smart agriculture farm that is facilitated with a proper,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Hu_2021_TRO_A-Decentralized-Cluster-Formation-Containment-Framework-for-Multirobot.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P102,10.1109/tits.2025.3631889,B,TITS,18,25,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; SCENARIO; SENSITIVITY, System Model.,7,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,NOTATION LIST,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Beishenalieva_2026_TITS_Secrecy-Aware-UAV-Path-Planning-and-Offloading-Strategy-Optimization-U.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P103,10.1109/tiv.2024.3405330,B,TIV,7,8,METHOD_FRAMEWORK; NETWORK_ARCHITECTURE; PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, We propose the use of predicted position and its associated,4,BASELINE_DESCRIPTION; RUNTIME,PEDESTRIAN TRAJECTORY PREDICTION RESULTS . BOLDED IS THE BEST,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Golchoubian_2024_TIV_Uncertainty-Aware-DRL-for-Autonomous-Vehicle-Crowd-Navigation-in-Share.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P104,10.1109/tiv.2022.3232890,B,TIV,6,16,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, The RISoUAV position and motion in the Cartesian coordinates: (a) 3D frame of the occupancy map (as the reference frame); (b) the yx−plane. ,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Eskandari_2022_TIV_Model-Predictive-Control-Based-3D-Navigation-of-a-RIS-Equipped-UAV-for.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P105,10.1109/tiv.2024.3383599,B,TIV,8,10,SCENARIO; SENSITIVITY, Real-time terrain analysis using a probabilistic graph-based approach:,6,COMPLEXITY; PARAMETERS,PARAMETER SETUP IN KITTI EXPERIMENTS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Pino_2024_TIV_Probabilistic-Graph-Based-Real-Time-Ground-Segmentation-for-Urban-Robo.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P106,10.1109/tvt.2022.3228198,B,TVT,6,6,PROBLEM; SCENARIO, Dynamic task reallocation scenario description.,3,COMPLEXITY; PARAMETERS,UA VS’C OMBA TCAPABILITY,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Liu_2023_TVT_Multi-Agent-Reinforcement-Learning-Based-Coordinated-Dynamic-Task-Allo.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P107,10.1109/tcst.2021.3091315,B,TCST,12,33,PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Illustration of the observations made in Remark 1. The shape of,8,COMPLEXITY; MAIN_COMPARISON,IMPORT ANT SYMBOLS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Gopalakrishnan_2021_TCST_Solving-Chance-Constrained-Optimization-Under-Nonparametric-Uncertaint.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
