paper	figure	page	panels_and_encoding	purpose_and_context	transfer_and_boundary
R18	2	4	左多机子图/里程计/回环输入，中上绿回环处理，中下橙FirstPGO→SpatialBA→LastPGO，右蓝输出。	不同阶段回环和几何优化各自解决哪种不一致。	步骤框内放位姿图而非仅文字。
R18	3	4	彩色机器人轨迹，聚类/孤立回环不同标记。	区分需要不同BA处理的回环空间分布。	边表示约束，不是航迹。
R18	4	5	上下BA前后，左红绿位姿链、右同区域点云放大。	图优化的几何后果是重影消失。	同位置同缩放才能比较。
R18	5	7	左多机节点、中PCA主轴、右重排节点序列。	空间BA窗口按空间而非时间排序。	显示排序操作改变了什么。
R18	6	8	横排多机器人位姿链，蓝里程计、粉跨机回环、绿自回环。	定义优化图边语义。	一条图例对应一种约束。
R18	7	8	上密集BA约束→稀疏，下将不同权重边注入多机位姿图。	把局部几何精度传播到全局且控制复杂度。	稀疏化与权重都需在图中可见。
R18	8	9	上车库全图，下三方法相同区域放大，突出多层/单层地面。	单机器人地图垂直漂移。	全局平面看起来重合仍可能有高度误差。
R18	9	10	左大地图，右三方法同位置局部放大。	多机合并重影对比。	同色来源和同区域裁剪。
R18	10	11	两场景行×轨迹/XYZ位置/XYZ误差三列。	区分形状恢复与绝对定位精度。	误差时序保留真值、时间单位。
R18	11	12	三方法行，每行轨迹+三坐标误差，S3E Library。	回环后轨迹一致性比较。	不要因轨迹平滑就省掉误差。
R18	12	12	三方法行，同F11布局，Tunnel环境。	考验隧道退化条件。	失败算法的缺失结果不要画成零。
R18	13	12	左Wasserstein误差直方图及3σ竖线，右体素误差空间分布。	定位地图坏在哪里以及占多少。	直方图计数单位是体素，不是独立试验。
R18	14	13	上实验室全图，下w/o LR与w/ LR同区域。	恢复有效回环改善一致性。	局部放大框固定位置。
R18	15	14	2×2消融点云，红框局部结构。	分离FirstPGO、BA和LastPGO作用。	图注明确每个版本保留哪些阶段。
R18	16	14	2×2粗GICP/精BA几何细节。	位姿粗对齐不等于点云精确融合。	只借对照方法，不直接照抄结果。
R18	17	15	五会话大地图加六个局部放大。	扩展性与局部清晰度同时呈现。	会话颜色/放大编号统一。
R18	18	16	上模块时间百分比堆叠柱，中总时间折线，下峰值RSS内存折线，横轴数据序列并注明姿态/回环数。	性能瓶颈、总耗时和内存三层效率证据。	不同双轴和数量单位清楚标；没有RL训练。
R19	1	1	三部分：形变规划仿真、穿窄口实景、抓取运输实景。	机体尺寸成为规划自由度。	先展示需要变形的任务。
R19	2	2	两机械开合图+俯视真机尺寸+抓物侧视。	单电机绳驱动可伸缩构型。	尺寸和构型变量进入规划模型。
R19	3	3	同栅格内最大/最小/可变尺寸三路径，圆足迹随路径变化。	固定最小尺寸也不一定最优。	把机体包络而非仅质心轨迹画出来。
R19	4	5	绿形变规划→黄舵机/NMPC→力/转矩补偿→蓝实体，状态反馈。	形变、外力补偿和飞控分工。	绘出估计反馈路径。
R19	5	6	左三种尺寸规划路线，右变形穿障局部放大。	路径和机体体积共同决定可行性。	方法线色一致。
R19	6	6	a宽实景五事件+侧边放大，b地图和形变状态vs秒，c位置/误差/外力vs秒。	穿窄口时机体收缩、扰动与跟踪误差关联。	编号对应实景和曲线；断轴/时间省略必须明示。
R19	7	7	上点云+真实抓取运输，下位置与外力vs秒，背景区分Grasping/Whole-body Transport。	载荷改变外力而控制仍跟踪。	不能只报最终位置，记录抓取事件。
R19	8	7	上8字实景，中XY参考/旧控制/本文，下面形变状态与外力时序。	变形中补偿控制降低跟踪误差。	RMSE来自统一整段，不挑局部。
R20	1	1	大幅发光特技轨迹与机体姿态。	展示连续复杂特技总体形态。	图注明确Blender渲染，不是真实长曝光。
R20	2	4	上淡蓝Training Pipeline：左偏置重置池甜甜圈+状态扩展小图，中绿意图/状态，蓝MLP100Hz→无人机及反馈；下淡橙四项奖励。	核心是采样初态课程而非换奖励；动作推力+角速度。	偏置池、种子回收、扩展方向不能省成Curriculum盒子。
R20	3	6	三行PowerLoop/Split-S/BarrelRoll；左姿态角着色轨迹和移动目标红圈，右平均回报vs学习迭代三策略线。	自动课程加快学习，并形成目标动作。	正文用相同初始分布及原始奖励评价SP/RS/本文，避免异奖励数值直接比；未声明的seed/带勿补造。
R20	4	7	蓝本文/红基线空间轨迹、姿态矢量、黑门框及黄法向。	通过关键姿态点的质量。	静态门基准与移动门实验分开。
R20	5	7	上下静态/动态门真实叠影，紫箭头门运动，左上局部小图。	验证反应式特技真实迁移。	动态试验单独报告门速与成功率。
R21	1	1	实景/RViz变形、机数加入退出、多机路径与队形快照六部分。	数量变化和窄口同时存在。	区分形状变换与成员集合变化。
R21	2	3	左蓝DVS搜索/紫DVS优化，中广播网络，右叠层每机优化与绿地图；内部带路径和形变小图。	公共可变虚拟结构引导分布式轨迹。	广播DVS/目标/点云需逐项命名。
R21	3	4	上队形按高度切片，下Lloyd迭代分区与位置分配。	人数变化后均匀填充且考虑下洗距离。	切片高度和分配身份显式。
R21	4	5	2×2候选基元穿口，绿色框选最优，蓝障碍和形状足迹。	比较覆盖、重叠和转弯等评分。	画实际筛选操作。
R21	5	5	三层：占据/长度评分→离散关键点→连续时空变形及边界速度。	将DVS搜索变成动力学连续指导。	空间尺度和时间优化分清。
R21	6	7	上80→90→100→88机星形全程，下加入/退出事件快照。	规模变化后的形状恢复。	不把同一运行快照计多次试验。
R21	7	7	四方法行×三窄口列，红圈碰撞。	固定条件显示失效宽度。	配宽度—成功率统计，失败不隐藏。
R21	8	7	上全程窄口路径/加入退出标记，下七关键队形快照。	机数变化和障碍同时处理。	成员ID颜色持续一致。
R21	9	8	中间实景加入/退出，上下时刻RViz配对；底部两误差曲线和平台图。	事件—误差恢复—实机对应。	加入/退出时间作为共享锚点。
R21	10	8	x每消息点云数量、y通信延迟s，均值线+标准差带。	支持点数和广播频率的工程选择。	非训练曲线；带是标准差。
R22	1	1	左右本文/基线动态障碍轨迹，下Doppler与MPC框序列。	速度感知改变避让时机。	强调动态障碍未来位置。
R22	2	2	蓝D-KalmanNet、橙环境变化、黄DT-MPC三列，含网络/速度纠正/预测/规划小图。	先估计运动，再从推测碰撞触发控制器调参。	不是RL策略；神经模块存在不等于强化学习。
R22	3	3	目标包围盒、雷达射线、方位/俯仰与径向速度几何。	将Doppler标量速度纠正为模型观测。	观测方向要与坐标系对应。
R22	4	5	上四方法RViz时刻和控制小曲线，下五CARLA时刻。	动态交叉障碍下的提前绕行。	仿真与真实数据集结果分别标识。
R22	5	6	2×4时刻顶视轨迹，五动态障碍。	展示拥挤动态交互。	固定1.25s间隔，不当八次试验。
R22	6	7	上多相机连续帧、中Doppler检测、下真值与四预测方法俯视图/误差。	快速接近目标下感知—预测证据链。	NMSE(dB)非成功率，画清预测时域。
R22	7	7	三状态Precrash/Hallucination/Crash，框和预测轨迹。	检测欠分割造成幻觉速度并引发碰撞。	保留失败分析，不只模仿成功效果。
R23	1	1	上Sim/Real路径对照+平台及成功率，下3DGS构建→域适应潜空间。	从照片级训练到单目实飞的总论点。	实景和生成图必须明确标识。
R23	2	3	拍摄/SfM→3DGS及裁剪，坐标对齐→点云进Isaac，RGB渲染含FOV/图像增强。	训练数据如何构造且几何/渲染一致。	不是只放仿真截图，画出坐标配准。
R23	3	4	左仿真状态和3DGS/真实图像，中绿critic和紫actor CNN→GRU→MLP，下域分类器/GRL反向梯度，右潜空间；实线前向虚线回传。	深度特权只给critic，域适应只影响编码训练。	动作T/姿态角；部署不能偷用深度critic或真实标签。
R23	4	5	xSimulation Steps、yMean Reward，多种输入/域适应/随机化配置折线。	比较特权深度、DA/DR/DY训练行为。	按图轴保留Simulation Steps名称，不擅改环境总步数；无seed统计说明则明确未说明。
R23	5	6	4行Baseline/DR/DA/DA+DR×两列t-SNE，左Sim/Real域，右五增强环境；附GSI/分类准确率。	域对齐与增强泛化是两件事。	t-SNE聚团不能单独证明因果，配实飞消融。
R23	6	7	3×2六连续航段，每次回程重排障碍，左右去/回程。	单次连续导航的环境适应。	标明段间重排与是否重启控制器。
R23	7	8	2×3照明开关变化实景，灯图标与轨迹。	检验外观变化鲁棒性。	灯态/曝光/时刻应保存。
R24	1	1	左板载平台/CPU GPU内存环图，右任务观测、三维区域图、对象语义和导航。	轻量空间语义表征连接高层对象任务。	性能环图需实测，不能只作装饰。
R24	2	4	四顺序栅格图：球采样、凸多面体扩展、队列、回环连接；多语义线图例。	解释增量空间连通图生成。	蓝已观测域与灰未知域分开。
R24	3	4	多区域三维线框多面体、拓扑节点、轨迹和新增边。	空间覆盖与连通的对应。	区域身份用离散色。
R24	4	5	上图像/深度/掩膜→几何与语义相似度融合，下真实模型/对象点云。	对象实例如何绑定场景图。	对齐实际输入与输出对象。
R24	5	6	左全局覆盖掩膜+frontier，右目标区域局部TSP路径。	避免重复探索并由粗到细导航。	视觉上分开全局区域决策与局部访问顺序。
R24	6	7	左带尺度仿真环境/目标图标，右任务三时刻和中下场景图。	语言任务如何产生区域推理、探索和找到目标。	此为固定LLM零样本使用，不能强行加RL训练图。
R24	7	7	任务分组柱，SPL及误差棒，灰无分层/蓝本文。	直接测分层决策对导航效率贡献。	误差棒统计定义查正文，五次任务试验不叫五训练seed。
R25	1	3	左粉非对称actor/critic：CNN→GRU→MLP；中sim/real+控制器，HOCBF滤波支路，训练/部署彩箭头，反传红虚线。	训练奖励软引导与部署QP硬修正分工。	必须画原动作→参考加速度→安全投影→控制指令的转换，原图简写不能成为接口歧义。
R25	2	5	a左成功率%vsTraining Iterations，Distance/Dijkstra/Dijkstra+CBF三线；b右密集训练环境。	证明奖励结构改变学习效率。	这是训练成功率非回报，单纯多环境不是多随机种子。
R25	3	6	a上五方法三维速度柱阵列，b下三种测试环境及速度着色路径。	目标速度、实际速度、复杂场景的差别。	学组合目的；新稿优先用二维小多图避免3D柱遮挡，这是设计改进非原图事实。
R25	4	7	三目标速度分组，各含基线/本文两行和多次独立试验列，红圈碰撞。	同条件真实速度提升与失败。	别只保留本文成功帧。
R25	5	7	x可通行性环境指标；彩柱实际速度与方差，折线成功率，三目标速度。	速度—安全—环境难度联合比较。	双轴清晰标识并保留试验分母。
R25	6	8	a全局森林点云速度路径，b带姿态仪/速度表机载视角，c顶视，d侧视叠影。	真实林间高速飞行多视角。	本文失败中包含视野外动态障碍；不把安全过滤写成无条件零碰撞。
R26	1	2	左语言+首帧→视频计划→真实部署，右五种导航任务示例。	视频作为高层动作空间的动机。	生成视频不是实飞证据。
R26	2	4	上K个视频样本→VLM安全/场景/任务评分→通过/重采样，下模型输入与评分卡。	采样筛选降低随机生成失败。	画清无合格候选时返回哪一步；非RL训练回路。
R26	3	5	生成帧→π³点云、MoGe2深度→尺度因子→度量航点。	修复视频解码尺度歧义。	需要坐标与尺度来源，不能直接把像素视频接电机。
R26	4	8	A真实点云，B尺度修正前后点云，C相对尺度误差柱。	量化物理尺度校准。	相对尺度误差不是飞行定位RMSE。
R26	5	8	采样视频和多项评分/成败标记。	采样预算与候选筛选消融。	评分为模型评价，真实任务还须执行验证。
R26	6	13	四类失败行，每行语言任务+生成帧：模式偏差、奖励钻空子、崩溃、忽略指令。	展示生成模型局限。	正文与补充编号连续，按PDF页定位。
R26	7	14	模糊输入→生成清晰帧序列。	梦境式去模糊展示。	生成细节不能当观测真值。
R26	8	14	低照输入→变亮生成序列。	低照增强能力样例。	不代表真实传感器采到隐藏物体。
R26	9	15	低分辨率输入→超分生成序列。	探索视觉恢复。	需与导航成功分开评价。
R26	10	15	下楼生成帧序列，逐步显露原视场外楼梯。	视频预测扩展可见空间的假设。	未观察部分是预测，不等于地图事实。
R26	11	18	三任务组，每组三行真实第一视角/生成第一视角/真实第三视角。	执行轨迹与想象轨迹并排核对。	同步视点/事件，生成行单独标签。
R26	12	19	三任务组×三视角行：快速到树、下降、穿环。	速度指令和空间任务的部署示例。	照片感不等于真实，保留生成/实拍区分。
R26	13	20	三任务组×三视角行：上桥、左侧树、两物体中间。	语言空间关系落地。	展示对象指代与路径相对关系。
R26	14	21	三任务组×三视角行：岩后、超市、两树间。	语义目标与绕行。	独立任务统计另列。
R26	15	22	一任务三行视角：去无叶树。	属性指令的真实对照。	固定模型使用，没有本稿RL训练曲线。
R27	1	1	2×2噪声/基元/采样路径/优化轨迹，连接线表示生成流程。	基元先验降低扩散采样难度。	移动机械臂不能直接套四旋翼动作。
R27	2	3	上任务encoder→基元概率→截断扩散/基元库；下点云+关键点注意力编码和多线程轨迹后处理，淡紫/蓝/粉区分。	展示任务表示、分布选择、扩散和模型优化的具体连接。	离线数据库与在线推理边界标明。
R27	3	4	起终机械臂姿态、前向运动学、关键点序号虚线连接。	将关节状态映射成三维关键点序列。	序号/顺序是机制要点。
R27	4	5	六场景快照，粉高度色障碍、金机械臂叠影，右碰撞模型。	定义环境类型与全机体碰撞近似。	静态仿真结果，不冒称真实部署。
R27	5	6	左右多样性分数/规划时间ms vs样本数，方法线型×环境颜色。	采样多样性和计算成本权衡。	非训练loss；右轴断轴必须显式。
R27	6	7	上下成功率/路径比vs样本数，不同编码器消融和环境颜色。	表示是否提升可行性及最优性。	监督扩散训练不应强制reward曲线。
R28	1	2	上环境/平台+能力适应逻辑，下开门/探索/定位目标三任务。	异构能力让协作有必要。	展示能力差异而不只是多机器人图标。
R28	2	4	左一次任务分解，右叠层每机感知—记忆—橙决策—动作，底部蓝广播/紫记忆消息。	初始化共享分解，执行异步分散。	不能把初始化leader画成全程中央控制器。
R28	3	4	粉局部mini-map、灰未知、编号候选、选中/被队友占用标记与图例。	给VLM可读的空间接口并去重探索。	每个符号有明确数据对象。
R28	4	6	带时间戳顶视路径/mini-map演化，底部感知图和语言协助请求。	无人机发现闭门后请求机械臂打开。	对话必须是日志实录，不能为图编造成功协商。
R28	5	7	三任务列：外观抓取、空间抓取、读时钟；完整/去能力/纯语言不同失败图。	区分能力感知与视觉落地的作用。	学习的是零样本VLM系统，非MARL训练曲线。
R28	6	11	废墟六面板：mini-map、搜索路径、协商文字、全局环境、发现幸存者。	未知环境中分散探索与终止判断。	本PDF是仿真验证，不能称真实救灾。
R28	7	12	家居任务大量事件网格，三机器人固定颜色，上mini-map下视图/对话。	完整协作执行过程。	密集版面适合补充材料，正文选关键因果片段。
R28	8	13	医院任务六面板，mini-map+三机路径+开门协助与发现目标。	跨场景迁移。	主文效果统计和成功样例分别报告。
R29	1	3	a手开合序列、b机器人对应形变、c/d人掌握/指捏、e/f真机抓握、g–j栖停/开门/交互/运输。	从生物构型到机构再到用途的证据链。	仿生类比必须有结构对应，不是仅贴手照片。
R29	2	4	a硬件拆分/2DoF扭转3DoF伸缩；b蓝任务—橙规划—黄控制—绿估计；c形变几何、坐标和受力。	硬件软件和物理模型统一解释自主操作。	首选浅色分层框图；把图案与模块绑定。
R29	3	5	a腱驱手示意；b半透明机构编号；c/d开闭构型；e绳驱弹簧储能；f自适应抓取。	说明单驱动如何产生多自由度和被动适应。	局部透明CAD+编号比通用流程盒更准确。
R29	4	6	a掌握实景时序；b位置/速度/外力/转矩/电机转速/总推力vs秒，阶段Go/Close/Transport/Open；c多物体及质量；d指捏时序；e小物体。	抓取过程、动态响应和对象适应性同图。	物体展示数量不等于试验次数，图像水平镜像处理需保留说明。
R29	5	8	a人抓树；b/d抓树/释放叠影；c转速e功率；f人开门g实机序列h门角i位置j外力。	栖停节能与开门受力两个任务各有量化。	不要将不同任务曲线放同一时间轴假同步。
R29	6	9	左三长实景阶段含①–⑧；右3D参考、三轴ATE、外力与舵角/抓握状态曲线。	连续多任务交互中切换抓握模式并保持飞行精度。	同事件编号跨照片与曲线，是实飞综合图重点范本。
R29	7	10	三横带：野外栖停多对象、变形穿岩缝、跨河运输起放点圆形放大。	外场应用范围。	用途展示仍需与定量任务评估分开。
R29	8	12	a操作者→ROS指令/视频→机器人；b三类时序c性能小表；d/e两种辅助任务大照片，尺度线和机载放大。	遥操作接口、实际地形尺度与控制性能同图。	人机协作不能误写为全自主；Nature版式可作IEEE作图参考。
